Ability Name,Stad,GS,C,Stad2,RS,E,Colo,XD,FRLG,DP,Pt,HGSS,PBR,BW,B2W2,XY,ORAS,SM,USUM,PE,SwSh
self_destruct,0,2,2,1,3,3,3,3,4,5,5,5,5,6,6,6,6,6,6,6,6
egg_bomb,0,1,1,0,2,2,4,4,3,5,5,5,5,6,6,6,6,6,6,6,7
lick,0,1,1,0,2,2,2,2,3,4,4,4,4,5,5,6,6,6,6,6,6
smog,0,1,1,0,2,2,2,2,3,4,4,4,4,5,5,6,6,6,6,6,6
sludge,0,2,2,1,3,3,3,3,4,5,5,5,5,6,6,7,7,7,7,7,7
bone_club,0,1,1,0,2,2,4,4,3,5,5,5,5,6,6,7,7,7,7,7,8
fire_blast,0,2,2,1,3,3,5,5,4,6,6,6,6,7,7,8,8,8,8,8,8
waterfall,0,1,1,0,2,2,4,4,3,5,5,7,6,8,8,9,9,10,10,10,10
clamp,0,2,2,1,3,3,5,5,4,6,6,6,6,7,7,7,7,7,7,7,8
swift,0,1,1,0,2,2,2,2,3,4,4,4,4,5,5,6,6,6,6,6,7
skull_bash,0,2,2,1,3,3,5,5,4,6,6,6,6,7,7,7,7,8,8,8,8
spike_cannon,0,1,1,0,2,2,4,4,3,5,5,5,5,6,6,6,6,6,6,6,7
constrict,0,2,2,1,3,3,3,3,4,5,5,5,5,6,6,7,7,8,8,8,9
amnesia,0,2,2,1,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5
kinesis,0,1,1,0,2,2,4,4,3,5,5,5,5,6,6,7,7,7,7,7,8
soft_boiled,0,2,2,1,3,3,3,3,4,5,7,7,6,8,8,9,9,10,10,10,10
high_jump_kick,0,2,2,1,3,3,3,3,4,5,5,5,5,6,6,6,6,6,6,6,6
glare,0,2,2,1,3,3,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6
dream_eater,0,2,2,1,3,3,5,5,4,6,6,6,6,7,7,8,8,8,8,8,9
poison_gas,0,1,1,0,2,2,4,4,3,5,5,5,5,6,6,7,7,8,8,8,9
barrage,0,1,1,0,2,2,2,4,3,5,5,5,5,6,6,6,6,6,6,6,7
leech_life,0,1,1,0,2,2,4,4,3,5,5,5,5,6,6,6,6,6,6,6,6
lovely_kiss,0,2,2,1,3,3,3,3,4,5,5,6,5,7,7,7,7,7,7,7,7
sky_attack,0,2,2,1,3,3,3,3,4,5,5,5,5,6,6,7,7,7,7,7,7
transform,0,1,1,0,2,2,4,4,3,5,5,5,5,6,6,6,6,6,6,6,6
bubble,0,2,2,1,3,3,5,5,4,6,6,6,6,7,7,8,8,9,9,9,10
dizzy_punch,0,2,2,1,3,3,5,5,4,6,7,7,6,8,8,9,9,9,9,9,10
spore,0,2,2,1,3,3,5,5,4,6,6,6,6,6,6,6,6,6,6,6,6
flash,0,2,2,1,3,3,5,5,4,6,6,6,7,8,8,9,10,11,11,11,12
psywave,0,1,1,0,2,2,2,2,3,4,4,4,4,5,5,5,5,5,5,5,6
splash,0,2,2,1,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5
acid_armor,0,1,1,0,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4
crabhammer,0,1,1,0,2,2,2,2,3,4,4,4,4,5,5,5,5,5,5,5,5
explosion,0,1,1,0,2,2,2,2,3,4,4,4,4,5,5,6,6,6,6,6,6
fury_swipes,0,1,1,0,2,2,4,4,3,5,5,5,5,6,6,7,7,7,7,7,7
bonemerang,0,2,2,1,3,3,3,3,4,5,5,5,5,6,6,6,6,7,7,7,7
rest,0,1,1,0,2,2,2,2,3,4,4,4,4,4,4,5,5,5,5,5,5
rock_slide,0,1,1,0,2,2,2,2,3,4,4,4,4,5,5,6,6,6,6,6,7
hyper_fang,0,1,1,0,2,2,2,2,3,4,4,4,4,5,5,6,6,6,6,6,6
sharpen,0,1,1,0,2,2,2,2,3,4,4,4,4,4,4,5,5,6,6,6,7
conversion,0,2,2,1,3,4,6,6,5,7,7,7,7,7,7,8,8,8,8,8,8
tri_attack,0,2,2,1,3,3,5,5,4,6,6,6,6,7,7,7,7,8,8,8,9
super_fang,0,1,1,0,2,2,4,4,3,5,5,5,5,6,6,7,7,7,7,7,7
slash,0,2,2,1,3,3,3,3,4,5,5,5,5,6,6,6,6,6,6,6,6
substitute,0,1,1,0,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,5
struggle,0,2,2,1,3,3,5,5,4,6,6,6,6,6,6,7,7,8,8,8,8
sketch,,1,1,0,2,2,4,4,3,5,5,7,6,8,8,8,8,8,8,8,8
triple_kick,,1,1,0,2,2,4,4,3,5,5,5,5,5,5,5,5,5,6,5,6
thief,,1,1,0,2,2,4,4,3,5,5,5,5,6,6,7,7,7,7,7,7
spider_web,,1,1,0,2,2,4,4,3,5,5,5,5,6,6,6,6,6,6,6,7
mind_reader,,1,1,0,2,2,4,4,3,5,5,5,5,6,6,6,6,6,6,6,6
nightmare,,1,1,0,2,2,3,3,4,4,4,4,4,5,5,5,5,5,5,5,6
flame_wheel,,1,1,0,2,2,2,2,3,4,4,4,4,5,5,6,6,6,6,6,6
snore,,1,1,0,2,2,2,2,3,4,4,4,4,5,5,6,6,7,7,7,7
curse,,1,1,0,2,2,2,2,3,4,4,4,4,5,5,5,5,5,5,5,5
flail,,1,1,0,2,2,2,2,3,4,4,4,4,4,4,5,5,5,5,5,5
conversion_2,,1,1,0,2,2,2,2,3,4,4,4,4,5,5,5,5,5,5,5,6
aeroblast,,1,1,0,2,2,2,2,3,4,4,4,4,5,5,5,5,5,5,5,5
cotton_spore,,1,1,0,2,2,4,4,3,5,5,5,5,6,6,7,7,8,8,8,9
reversal,,1,1,0,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
spite,,1,1,0,2,2,4,4,3,5,5,5,5,6,6,6,6,6,6,6,6
powder_snow,,1,1,0,2,2,4,4,3,5,5,5,5,6,6,7,7,7,7,7,8
protect,,1,1,0,2,2,2,2,3,4,4,4,4,4,4,5,5,5,5,5,6
mach_punch,,1,1,0,2,2,2,2,3,4,4,4,4,4,4,5,5,5,5,5,5
scary_face,,1,1,0,2,2,2,2,3,4,4,4,4,5,5,6,6,6,6,6,6
feint_attack,,1,1,0,2,2,4,4,3,5,5,5,5,6,6,7,7,7,7,7,8
sweet_kiss,,1,1,0,2,2,2,2,3,4,4,4,4,5,5,5,5,5,5,5,5
belly_drum,,1,1,0,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4
sludge_bomb,,1,1,0,2,2,2,2,3,4,4,4,4,5,5,6,6,6,6,6,6
mud_slap,,1,1,0,2,2,4,4,3,5,5,5,5,6,6,6,6,6,6,6,6
octazooka,,1,1,0,2,2,2,2,3,4,4,4,4,5,5,6,6,6,6,6,6
spikes,,1,1,0,2,3,2,2,4,5,5,5,5,6,6,6,6,6,6,6,6
zap_cannon,,1,1,0,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4
foresight,,1,1,0,2,2,4,4,3,5,5,5,5,6,6,7,7,7,7,7,8
destiny_bond,,1,1,0,2,2,2,2,3,4,4,4,4,5,5,5,5,6,6,6,6
perish_song,,1,1,0,2,2,2,2,3,4,4,5,4,5,5,5,5,5,5,5,5
icy_wind,,1,1,0,2,2,2,2,3,4,4,4,4,5,5,6,6,6,6,6,7
detect,,1,1,0,2,2,2,2,3,4,4,4,4,4,4,5,5,5,5,5,6
bone_rush,,1,1,0,2,2,4,4,3,5,5,5,5,6,6,6,6,6,6,6,6
lock_on,,1,1,0,2,2,4,4,3,5,5,5,5,6,6,7,7,7,7,7,7
outrage,,1,1,0,2,2,2,2,3,4,4,4,4,5,5,5,5,6,6,6,6
sandstorm,,1,1,0,2,2,2,2,3,4,4,4,4,5,5,5,5,6,6,6,7
giga_drain,,1,1,0,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4
endure,,1,1,0,2,2,2,2,3,4,4,5,4,5,5,5,5,5,5,5,5
charm,,1,1,0,2,2,4,4,3,5,5,5,5,6,6,7,7,7,7,7,8
rollout,,1,1,0,2,2,2,2,3,4,4,4,4,5,5,6,6,6,6,6,6
false_swipe,,1,1,0,2,2,2,4,3,5,5,5,5,6,6,6,6,6,6,6,6
swagger,,1,1,0,2,2,4,4,3,5,5,5,5,6,6,7,7,7,7,7,7
milk_drink,,1,1,0,2,2,2,2,3,4,4,4,5,6,6,7,7,8,8,8,8
spark,,1,1,0,2,2,4,4,3,5,5,5,5,6,6,7,7,7,7,7,7
fury_cutter,,1,1,0,2,2,2,2,3,4,4,4,4,5,5,6,6,6,6,6,6
steel_wing,,1,1,0,2,2,4,4,3,5,5,5,5,6,6,7,7,7,7,7,7
mean_look,,1,1,0,2,2,4,4,3,5,5,5,5,6,6,6,6,6,6,6,6
attract,,1,1,0,2,2,2,2,3,4,4,4,4,5,5,5,5,5,5,5,5
sleep_talk,,1,1,0,2,3,5,5,4,6,6,6,6,6,6,6,6,6,6,6,6
heal_bell,,1,1,0,2,2,2,2,3,4,4,4,4,4,4,5,5,5,5,5,5
return,,1,1,0,2,2,2,2,3,4,4,4,4,4,4,4,4,5,5,5,6
present,,1,1,0,2,2,2,2,3,4,4,4,4,5,5,5,5,5,5,5,5
frustration,,1,1,0,2,2,4,4,3,5,5,5,5,5,5,5,5,6,6,6,7
safeguard,,1,1,0,2,2,2,2,3,4,4,4,4,4,4,5,5,5,5,5,5
pain_split,,1,1,0,2,2,4,4,3,5,5,5,5,6,6,6,6,6,6,6,6
sacred_fire,,1,1,0,2,2,2,2,3,4,4,4,4,5,5,6,6,6,6,6,6
magnitude,,1,1,0,2,2,2,2,3,4,4,4,4,5,5,6,6,6,6,6,7
dynamic_punch,,1,1,0,2,2,2,2,3,4,4,4,4,5,5,6,6,6,6,6,6
megahorn,,1,1,0,2,2,2,4,3,5,5,6,5,7,7,7,7,7,7,7,7
dragon_breath,,1,1,0,2,2,4,4,3,5,5,5,5,6,6,7,7,7,7,7,7
baton_pass,,1,1,0,2,2,2,2,3,4,4,4,4,4,4,5,5,5,5,5,5
encore,,1,1,0,2,2,4,4,3,5,6,6,5,7,7,7,7,8,8,8,8
pursuit,,1,1,0,2,2,4,4,3,5,5,5,5,6,6,6,6,7,7,7,8
rapid_spin,,1,1,0,2,2,4,4,3,5,5,5,5,5,5,5,5,5,5,5,6
sweet_scent,,1,1,0,2,2,2,2,3,4,4,4,5,6,6,7,7,8,8,8,8
iron_tail,,1,1,0,2,2,4,4,3,5,5,5,5,6,6,7,7,7,7,7,7
metal_claw,,1,1,0,2,2,2,2,3,4,4,4,4,5,5,6,6,6,6,6,6
vital_throw,,1,1,0,2,2,4,4,3,5,5,5,5,6,6,7,7,7,7,7,7
morning_sun,,1,1,0,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4
synthesis,,1,1,0,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4
moonlight,,1,1,0,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4
hidden_power,,1,1,0,2,2,2,2,3,4,4,4,4,4,4,5,5,5,5,5,6
cross_chop,,1,1,0,2,2,2,2,3,4,4,4,4,5,5,5,5,5,5,5,5
twister,,1,1,0,2,2,4,4,3,5,5,6,5,7,7,8,8,8,8,8,9
rain_dance,,1,1,0,2,2,2,2,3,4,4,4,4,4,4,4,4,5,5,5,5
sunny_day,,1,1,0,2,2,2,2,3,4,4,4,4,4,4,4,4,5,5,5,5
crunch,,1,1,0,2,2,2,2,3,4,4,4,4,5,5,6,6,6,6,6,6
mirror_coat,,1,2,0,3,3,5,5,4,6,6,6,6,6,6,6,6,6,6,6,6
psych_up,,1,1,0,2,2,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5
extreme_speed,,1,1,0,2,2,2,2,3,4,4,4,4,5,5,6,6,6,6,6,6
ancient_power,,1,1,0,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,4
shadow_ball,,1,1,0,2,2,4,4,3,5,5,5,5,6,6,7,7,7,7,7,7
future_sight,,1,1,0,2,2,2,2,3,4,4,4,4,5,5,5,5,5,5,5,5
rock_smash,,1,1,0,2,2,4,4,3,5,5,7,6,8,8,9,9,10,10,10,10
whirlpool,,1,1,0,2,2,3,3,4,5,5,6,5,7,7,8,8,8,8,8,8
beat_up,,1,1,0,2,2,2,2,3,4,4,4,4,5,5,5,5,5,5,5,5
fake_out,,,,,0,0,0,0,1,2,2,3,2,3,3,3,3,4,4,4,5
uproar,,,,,0,0,0,0,1,2,2,2,2,3,3,4,4,5,5,5,5
stockpile,,,,,0,0,0,0,1,2,2,2,2,3,3,4,4,4,4,4,4
spit_up,,,,,0,0,0,0,1,2,2,2,2,3,3,4,4,4,4,4,4
swallow,,,,,0,0,0,0,1,2,2,2,2,3,3,3,3,3,3,3,3
heat_wave,,,,,0,0,2,2,1,3,3,3,3,4,4,5,5,5,5,5,6
hail,,,,,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,3
torment,,,,,0,0,2,2,1,3,3,3,3,4,4,4,4,4,4,4,4
flatter,,,,,0,0,2,2,1,3,3,3,3,4,4,5,5,5,5,5,5
will_o_wisp,,,,,0,0,2,2,1,3,3,3,3,4,4,4,4,4,4,4,5
memento,,,,,0,0,2,2,1,3,3,3,3,3,3,4,4,4,4,4,4
facade,,,,,0,0,0,0,1,2,2,2,2,3,3,3,3,4,4,4,4
focus_punch,,,,,0,0,0,0,1,2,2,2,2,2,2,3,3,3,3,3,3
smelling_salts,,,,,0,0,2,2,1,3,3,3,3,4,4,5,5,6,6,6,7
follow_me,,,,,0,0,0,0,1,2,2,2,2,3,3,3,3,3,3,3,3
nature_power,,,,,0,0,0,0,1,2,2,2,2,2,2,2,2,3,3,3,3
charge,,,,,0,0,0,0,1,2,2,2,2,3,3,4,4,4,4,4,4
taunt,,,,,0,0,2,2,1,3,3,3,3,4,4,4,4,4,4,4,4
helping_hand,,,,,0,0,0,0,1,2,2,2,2,3,3,4,4,4,4,4,4
trick,,,,,0,0,2,2,1,3,3,3,3,4,4,4,4,4,4,4,4
role_play,,,,,0,0,0,0,1,2,2,2,2,3,3,3,3,3,3,3,4
wish,,,,,0,0,0,0,1,2,2,2,2,3,3,4,4,5,5,5,5
assist,,,,,0,0,0,0,1,2,2,2,2,2,2,2,2,3,3,3,4
ingrain,,,,,0,0,0,0,1,2,2,2,2,3,3,3,3,4,4,4,4
superpower,,,,,0,0,0,0,1,2,2,2,2,3,3,4,4,4,4,4,4
magic_coat,,,,,0,0,0,0,1,2,2,2,2,3,3,3,3,3,3,3,4
recycle,,,,,0,0,2,2,1,3,3,4,3,4,4,4,4,4,4,4,4
revenge,,,,,0,0,2,2,1,3,3,3,3,4,4,4,4,5,5,5,5
brick_break,,,,,0,0,0,0,1,2,2,2,2,3,3,4,4,4,4,4,4
yawn,,,,,0,0,2,2,1,3,3,3,3,4,4,4,4,4,4,4,4
knock_off,,,,,0,0,2,2,1,3,3,3,3,4,4,5,5,5,5,5,5
endeavor,,,,,0,0,2,3,1,4,4,4,4,5,5,5,5,6,6,6,6
eruption,,,,,0,0,0,0,1,2,2,2,2,3,3,4,4,4,4,4,4
skill_swap,,,,,0,0,0,0,1,2,2,2,2,3,3,3,3,3,3,3,3
imprison,,,,,0,0,2,2,1,3,3,3,3,4,4,5,5,5,5,5,5
refresh,,,,,0,0,0,0,1,2,2,2,2,2,2,2,2,3,3,3,4
grudge,,,,,0,1,0,0,2,3,3,3,3,4,4,4,4,4,4,4,4
snatch,,,,,0,0,2,2,1,3,4,4,3,5,5,6,6,6,6,6,7
secret_power,,,,,0,0,2,2,1,3,3,3,3,4,4,5,6,7,7,7,8
dive,,,,,0,0,0,0,1,2,2,2,2,3,3,4,5,6,6,6,6
arm_thrust,,,,,0,0,2,2,1,3,3,3,3,3,3,4,4,4,4,4,4
camouflage,,,,,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,3
tail_glow,,,,,0,0,0,0,1,2,2,2,2,3,3,3,3,3,3,3,4
luster_purge,,,,,0,0,0,0,1,2,2,2,2,3,3,4,4,4,4,4,4
mist_ball,,,,,0,0,0,0,1,2,2,2,2,3,3,4,4,4,4,4,4
feather_dance,,,,,0,0,2,2,1,3,3,3,3,4,4,4,4,4,4,4,4
teeter_dance,,,,,0,0,2,2,1,3,3,3,3,4,4,4,4,4,4,4,4
blaze_kick,,,,,0,0,0,0,1,2,2,2,2,3,3,4,4,4,4,4,4
mud_sport,,,,,0,0,0,0,1,2,2,2,2,2,2,3,3,4,4,4,5
